nd,gisid,mean_p,std_p,max_p,min_p
NODE_709440157034800,709220322097900,0.039039003920836444,0.02736316402800214,0.11239199999999999,0.0096075
NODE_709440157100100,700000601700002,0.1671913515687852,0.07838487905977007,0.4329,0.030899999999999997
NODE_709440157066700,700000587386502,0.20012682193839215,0.11112283730135603,0.5015999999999999,0.0548
NODE_709440237576000,709440237575200,0.01234387678437265,0.007684462994335128,0.0482,0.0024
NODE_709440157049800,709220195512700,0.4518644169478815,0.3540555671234261,1.4216,0.09119999999999999
NODE_709440157049200,709220195510700,0.45186445444319456,0.3540557493031329,1.421625,0.09125
NODE_709440157066400,700000587386702,0.20012682193839218,0.11112283730135604,0.5016,0.05479999999999999
NODE_709220360530900,709220161910600,0.5803128902165795,0.402489284778162,1.4072,0.14880000000000002
NODE_709220360524000,709220161926900,0.5803128902165795,0.402489284778162,1.4072,0.14880000000000002
NODE_709220364156700,709220161902100,0.5803128902165795,0.402489284778162,1.4072,0.14880000000000002
NODE_709220360495500,709220161882000,0.5803128902165795,0.402489284778162,1.4072,0.14880000000000002
NODE_709220360538300,709220161901100,0.5803128902165795,0.402489284778162,1.4072,0.14880000000000002
NODE_709220360510400,709220161881000,0.5803128902165795,0.402489284778162,1.4072,0.14880000000000002
NODE_709220277215000,709220277212600,0.054550785340314135,0.016790174778124844,0.13744,0.00176
NODE_709220360524800,709220161910100,0.5803128902165795,0.402489284778162,1.4072,0.14880000000000002
NODE_709440171711100,709220277213300,0.054550785340314135,0.016790174778124844,0.13744,0.00176
NODE_709220357182800,709220294361600,0.5531344736842105,0.10886362037514498,0.820197,0.0039059999999999997
NODE_709440148740900,709440148747500,0.14157601194921582,0.0483595605339275,0.3444,0.055920000000000004
NODE_709220357117500,700000073884402,0.25947901418969377,0.056917735178806474,0.41808,0.13128
NODE_709440181470600,700000062182102,0.5073512971257933,0.11855245497582255,0.915,0.27425
NODE_709220357337700,700000089094202,0.14388177043673012,0.03128983534366056,0.250551,0.073143
NODE_709440181471000,700000062181802,0.5073512971257933,0.11855245497582255,0.915,0.27425
NODE_709220357286600,700000685400702,0.33980502127659573,0.05771205907120415,0.538209,0.046808999999999996
NODE_709220357284500,700000685401102,0.33980470324748036,0.05771205100880296,0.53824,0.046799999999999994
NODE_709220357184400,700000703024102,0.5531342665173572,0.10886345191538195,0.8201999999999999,0.0039000000000000003
NODE_709220357183600,700000703024502,0.5531342665173572,0.10886345191538195,0.8201999999999999,0.0039000000000000003
NODE_709220357185200,700000703023902,0.5531342665173572,0.10886345191538195,0.8201999999999999,0.0039000000000000003
NODE_709440247716900,709440247716100,0.3330253024645258,0.08378123747487971,0.6043999999999999,0.14959999999999998
NODE_709220291897000,709220291898300,0.17840630769230767,0.05847351164683745,0.28120049999999996,0.0
NODE_709440236237100,709440236234700,0.08229787234042554,0.005811401642346776,0.11520000000000001,0.0432
NODE_709220379940300,709220119790100,0.44178192681105294,0.33585486826383454,1.001375,0.05075
NODE_709440247710300,700000155448602,0.3330250186706497,0.08378143462220553,0.6043999999999999,0.14959999999999998
NODE_709440236205500,709440236202000,0.08229787234042553,0.005811401642346777,0.1152,0.0432
NODE_709220406820500,709220406821800,0.3132592681105303,0.12525205949179113,0.66832,0.035840000000000004
NODE_709220379966200,700000133708502,0.18235078475336322,0.07814126599768129,0.41745,0.03645
NODE_709220379045900,709220315271800,0.03369610758311543,0.013072858403823492,0.10576,0.01368
NODE_709220347425500,709220347429000,0.054980706014195004,0.011479023766316786,0.09480000000000001,0.022525
